Attendance,Study_Hours,Previous_Marks,Assignment_Marks,Internal_Marks,Final_Marks
50,4.0,79,51,71,76.19
74,3.5,45,49,89,78.47
56,5.5,63,71,90,86.2
58,5.7,90,55,58,86.55
73,7.0,70,47,60,82.72
50,2.6,59,77,44,61.56
93,4.5,55,51,57,74.83
57,5.0,95,63,67,85.48
73,6.4,91,67,81,92.44
60,1.3,70,92,61,74.29
100,8.0,44,47,60,75.95
66,4.3,71,97,45,76.04
57,3.0,43,67,40,54.68
84,7.2,58,75,44,81.48
84,6.2,69,65,80,94.89
82,7.7,83,47,51,90.66
54,3.3,69,97,65,79.27
91,4.9,82,99,85,97.61
88,5.0,70,89,73,89.3
90,7.9,52,67,88,91.41
77,1.5,83,67,53,72.74
56,3.1,73,76,65,74.19
58,2.3,66,80,84,76.36
57,2.9,58,75,66,68.58
61,4.4,57,66,48,70.31
83,3.6,66,93,65,78.99
82,3.8,71,56,86,82.76
97,6.9,46,48,61,73.5
72,7.5,83,72,86,100.0
73,1.5,89,92,95,89.41
86,2.5,47,59,69,71.43
84,5.7,57,52,82,84.83
93,3.5,59,67,87,88.11
89,2.8,69,87,56,78.17
71,3.1,75,68,65,75.06
76,3.3,64,52,75,71.48
84,6.9,51,85,40,68.3
50,2.0,83,74,47,69.73
84,6.0,54,100,88,94.43
86,4.9,82,45,74,88.52
96,3.1,59,57,91,78.86
63,3.9,56,90,54,74.77
52,2.8,47,44,86,64.16
50,5.3,93,86,95,94.48
54,1.6,53,64,61,59.09
75,1.0,83,41,53,68.84
63,5.4,70,49,65,73.0
88,2.4,46,95,67,73.94
76,1.5,95,69,62,82.44
58,3.8,75,89,53,79.92
64,1.4,53,98,63,68.98
64,7.2,46,84,41,67.78
75,1.2,43,44,84,65.3
91,5.1,41,94,65,75.72
62,4.1,62,95,53,71.15
100,5.7,48,72,95,86.26
81,3.3,65,93,90,82.42
88,2.1,86,40,46,71.05
98,7.9,53,57,42,82.44
81,6.9,92,71,86,100.0
53,7.0,81,86,62,86.23
79,2.8,50,88,85,82.26
86,1.3,87,50,82,81.82
72,3.1,39,60,86,65.65
88,4.8,69,65,84,90.8
94,3.3,46,64,57,70.55
64,6.8,59,61,77,88.15
92,2.9,86,98,74,88.05
78,7.8,93,66,90,100.0
85,4.2,55,88,54,80.93
62,6.9,70,52,64,81.1
81,2.4,87,72,94,90.75
56,3.9,57,73,76,72.5
100,5.9,50,80,67,84.68
71,2.0,91,74,49,76.3
77,1.9,73,40,78,76.64
51,7.8,79,60,56,82.27
91,6.0,87,87,78,100.0
94,1.3,76,94,61,81.43
55,3.8,92,45,65,78.18
77,4.0,73,67,83,88.97
77,6.2,48,56,64,70.43
93,2.8,65,44,56,72.77
93,2.3,92,70,52,82.73
69,1.6,39,44,59,51.52
79,4.0,69,77,64,75.57
60,5.8,57,42,43,68.68
77,1.4,63,92,49,72.34
74,7.4,77,62,42,82.67
88,4.1,45,76,80,84.15
82,2.7,52,92,84,81.67
50,1.7,81,76,57,74.85
76,2.3,46,49,86,71.46
62,7.5,43,49,75,75.22
90,5.5,44,58,86,78.48
52,4.6,92,56,61,78.99
88,5.6,78,60,73,89.03
55,4.0,51,53,86,76.69
57,6.1,95,48,47,83.51
76,1.3,72,85,79,81.09
58,5.0,41,40,88,73.46
